frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.019","0.002","1","-0.024","-0.025","0.999","-5.969","-30.68","2556.719"
"0.01493835","0.019","0.002","1","-0.024","-0.025","0.999","-5.714","-30.727","2556.719"
"0.02833557","0.019","0.002","1","-0.023","-0.025","0.999","-5.557","-30.73","2556.719"
"0.04290771","0.019","0.001","1","-0.023","-0.025","0.999","-4.914","-30.579","2556.722"
"0.05685425","0.019","0.002","1","-0.023","-0.025","0.999","-4.371","-30.432","2556.725"
"0.07110596","0.02","0.002","1","-0.023","-0.025","0.999","-4.015","-30.35","2556.727"
"0.08551025","0.022","0.001","1","-0.023","-0.024","0.999","-3.002","-30.199","2556.729"
"0.09994507","0.022","0.001","1","-0.022","-0.024","0.999","-1.839","-29.841","2556.735"
"0.1148987","0.023","0.001","1","-0.022","-0.024","0.999","-1.186","-29.919","2556.734"
"0.1281891","0.023","0.001","1","-0.022","-0.024","0.999","-0.938","-29.779","2556.736"
"0.1425171","0.023","0.001","1","-0.022","-0.024","0.999","-0.862","-29.537","2556.739"
"0.1569519","0.023","0.001","1","-0.022","-0.023","0.999","-0.519","-29.409","2556.74"
"0.1712036","0.023","0.001","1","-0.022","-0.023","0.999","-0.541","-29.068","2556.744"
"0.1858673","0.021","0.001","1","-0.022","-0.023","0.999","-0.848","-28.63","2556.749"
"0.1999512","0.021","0.001","1","-0.022","-0.023","1","-1.071","-28.302","2556.753"
"0.2150726","0.021","0.002","1","-0.022","-0.023","1","-1.24","-28.093","2556.755"
"0.2282257","0.021","0.002","1","-0.022","-0.023","1","-1.692","-27.634","2556.76"
"0.2426758","0.021","0.002","1","-0.022","-0.023","1","-2.296","-27.375","2556.762"
"0.256958","0.019","0.002","1","-0.022","-0.023","0.999","-3.358","-27.359","2556.761"
"0.2711945","0.018","0.002","1","-0.022","-0.023","0.999","-4.075","-27.094","2556.763"
"0.2855988","0.018","0.002","1","-0.022","-0.023","0.999","-4.355","-26.946","2556.764"
"0.2999268","0.018","0.002","1","-0.022","-0.023","0.999","-4.488","-27.06","2556.762"
