frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.126","-0.286","0.95","0.079","-0.338","0.938","0.813","-2.451","7.428"
"0.01775455","0.121","-0.284","0.951","0.065","-0.338","0.939","0.666","-2.4","7.319"
"0.02937126","0.107","-0.276","0.955","0.035","-0.341","0.939","0.56","-2.368","7.293"
"0.04296112","0.097","-0.27","0.958","0.028","-0.336","0.941","0.485","-2.336","7.329"
"0.05737495","0.081","-0.257","0.963","0.008","-0.337","0.942","0.347","-2.281","7.32"
"0.07147789","0.072","-0.249","0.966","-0.003","-0.333","0.943","0.276","-2.239","7.307"
"0.08565426","0.065","-0.242","0.968","-0.008","-0.332","0.943","0.222","-2.203","7.293"
"0.09998989","0.05","-0.228","0.972","-0.017","-0.331","0.943","0.136","-2.17","7.39"
"0.1141539","0.047","-0.224","0.974","-0.024","-0.33","0.944","0.093","-2.115","7.304"
"0.1289968","0.035","-0.209","0.977","-0.039","-0.319","0.947","-0.006","-1.988","7.234"
"0.1427898","0.03","-0.204","0.978","-0.039","-0.319","0.947","-0.065","-1.992","7.388"
"0.1573238","0.016","-0.19","0.982","-0.056","-0.302","0.952","-0.151","-1.864","7.308"
"0.1723566","0.003","-0.182","0.983","-0.064","-0.298","0.952","-0.231","-1.814","7.318"
"0.1859379","0.089","-0.134","0.987","-0.068","-0.297","0.952","0.047","-1.706","7.787"
"0.2001324","0.098","-0.159","0.982","-0.065","-0.297","0.953","0.345","-1.948","7.714"
"0.2142534","0.14","-0.212","0.967","-0.03","-0.305","0.952","0.435","-2.01","7.51"
"0.2289095","0.145","-0.227","0.963","-0.025","-0.311","0.95","0.502","-2.167","7.418"
"0.2429314","0.143","-0.25","0.958","-0.02","-0.322","0.947","0.491","-2.227","7.446"
"0.2571535","0.136","-0.27","0.953","-0.02","-0.327","0.945","0.417","-2.227","7.066"
"0.2714243","0.132","-0.271","0.953","-0.022","-0.328","0.944","0.395","-2.239","7.037"
"0.2856646","0.116","-0.279","0.953","-0.026","-0.331","0.943","0.343","-2.26","7.034"
"0.2998962","0.1","-0.288","0.952","-0.036","-0.338","0.94","0.244","-2.322","7.017"
"0.3143282","0.081","-0.289","0.954","-0.045","-0.343","0.938","0.141","-2.345","7.013"
"0.3289661","0.055","-0.283","0.957","-0.057","-0.347","0.936","0.008","-2.347","7.013"
"0.3428984","0.046","-0.282","0.958","-0.059","-0.349","0.935","-0.032","-2.353","7.011"
"0.3576498","0.067","-0.299","0.952","-0.059","-0.353","0.934","0.071","-2.49","7.029"
"0.3715525","0.087","-0.315","0.945","-0.054","-0.364","0.93","0.106","-2.503","6.914"
"0.3857117","0.095","-0.326","0.941","-0.05","-0.381","0.923","0.161","-2.59","6.837"
"0.3999681","0.095","-0.332","0.938","-0.051","-0.392","0.919","0.129","-2.675","6.666"
"0.4141798","0.092","-0.349","0.933","-0.062","-0.41","0.91","0.115","-2.771","6.734"
"0.429163","0.079","-0.36","0.93","-0.068","-0.417","0.906","0.045","-2.849","6.73"
"0.4430799","0.073","-0.367","0.927","-0.073","-0.423","0.903","-0.001","-2.896","6.71"
"0.4569817","0.039","-0.376","0.926","-0.076","-0.424","0.903","-0.114","-2.954","6.772"
"0.4713659","0.031","-0.378","0.925","-0.079","-0.423","0.902","-0.279","-2.979","6.848"
"0.4856682","0.006","-0.376","0.927","-0.106","-0.412","0.905","-0.502","-2.915","6.852"
"0.5000029","-0.026","-0.37","0.929","-0.133","-0.405","0.905","-0.595","-2.935","6.925"
"0.5143528","-0.054","-0.361","0.931","-0.162","-0.395","0.904","-0.809","-2.865","6.934"
"0.5291414","-0.068","-0.356","0.932","-0.18","-0.394","0.901","-0.94","-2.846","6.946"
"0.5428543","-0.015","-0.329","0.944","-0.192","-0.395","0.898","-0.71","-2.437","5.975"
"0.5572481","0.054","-0.425","0.904","-0.221","-0.395","0.892","-0.463","-1.959","4.38"
"0.5715313","0.122","-0.438","0.89","-0.261","-0.394","0.881","-0.402","-1.964","4.269"
"0.5857658","0.144","-0.44","0.887","-0.274","-0.393","0.878","-0.358","-1.979","4.211"
"0.6001606","0.176","-0.45","0.876","-0.315","-0.397","0.862","-0.352","-2.023","4.228"
"0.6140957","0.18","-0.452","0.874","-0.328","-0.4","0.856","-0.354","-2.038","4.21"
"0.6289644","0.193","-0.448","0.873","-0.344","-0.404","0.848","-0.352","-2.017","4.159"
"0.6430655","0.193","-0.448","0.873","-0.363","-0.41","0.837","-0.389","-2.064","4.152"
"0.6574354","0.194","-0.448","0.873","-0.367","-0.411","0.835","-0.408","-2.1","4.16"
"0.6717091","0.195","-0.449","0.872","-0.369","-0.414","0.832","-0.408","-2.1","4.16"
