frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"0.4995066","-0.197","0.252","0.417","0.014","-0.933","0.36","-0.134","0.254","0.426","-0.223","-0.223","0.949"
"0.5112917","-0.198","0.252","0.418","0.015","-0.933","0.36","-0.135","0.254","0.426","-0.223","-0.223","0.949"
"0.5232254","-0.199","0.252","0.419","0.015","-0.933","0.36","-0.136","0.254","0.427","-0.223","-0.223","0.949"
"0.5397283","-0.2","0.252","0.42","0.015","-0.933","0.36","-0.137","0.254","0.428","-0.223","-0.223","0.949"
"0.5520471","-0.201","0.252","0.421","0.015","-0.933","0.36","-0.138","0.254","0.429","-0.223","-0.223","0.949"
"0.5665509","-0.202","0.252","0.422","0.015","-0.933","0.36","-0.139","0.254","0.43","-0.222","-0.222","0.949"
"0.5804119","-0.203","0.252","0.423","0.016","-0.933","0.36","-0.14","0.254","0.431","-0.222","-0.222","0.949"
"0.5947791","-0.204","0.252","0.424","0.016","-0.933","0.36","-0.141","0.254","0.432","-0.222","-0.222","0.949"
"0.6110799","-0.205","0.252","0.425","0.016","-0.933","0.361","-0.142","0.255","0.433","-0.221","-0.222","0.95"
"0.6240315","-0.206","0.252","0.425","0.016","-0.932","0.361","-0.143","0.255","0.434","-0.221","-0.222","0.95"
"0.6378005","-0.207","0.253","0.426","0.016","-0.932","0.361","-0.144","0.255","0.435","-0.221","-0.221","0.95"
"0.6518573","-0.208","0.253","0.427","0.016","-0.932","0.361","-0.145","0.255","0.436","-0.22","-0.221","0.95"
"0.6663749","-0.209","0.253","0.428","0.016","-0.932","0.361","-0.146","0.255","0.437","-0.22","-0.221","0.95"
"0.6802995","-0.21","0.253","0.429","0.016","-0.932","0.361","-0.147","0.255","0.438","-0.22","-0.221","0.95"
"0.6945767","-0.211","0.253","0.43","0.016","-0.932","0.361","-0.149","0.255","0.439","-0.22","-0.221","0.95"
"0.7092916","-0.212","0.253","0.431","0.015","-0.933","0.361","-0.15","0.255","0.44","-0.22","-0.222","0.95"
"0.723362","-0.213","0.253","0.432","0.015","-0.933","0.36","-0.151","0.255","0.44","-0.22","-0.222","0.95"
"0.7397244","-0.214","0.253","0.433","0.015","-0.933","0.36","-0.152","0.255","0.441","-0.22","-0.222","0.95"
"0.7521831","-0.215","0.253","0.434","0.015","-0.933","0.36","-0.153","0.255","0.442","-0.22","-0.222","0.95"
"0.7667901","-0.217","0.253","0.435","0.015","-0.933","0.36","-0.154","0.255","0.444","-0.22","-0.222","0.95"
"0.7805758","-0.218","0.253","0.436","0.015","-0.933","0.36","-0.155","0.255","0.445","-0.221","-0.222","0.95"
"0.7948455","-0.219","0.253","0.437","0.015","-0.933","0.36","-0.156","0.255","0.446","-0.221","-0.222","0.95"
"0.8090039","-0.219","0.253","0.438","0.015","-0.933","0.36","-0.157","0.255","0.446","-0.221","-0.222","0.95"
"0.8246317","-0.224","0.235","0.462","0.064","-0.933","0.355","-0.161","0.237","0.462","-0.09","-0.221","0.971"
"0.8378863","-0.224","0.235","0.462","0.064","-0.933","0.355","-0.161","0.237","0.462","-0.09","-0.222","0.971"
"0.8519346","-0.224","0.235","0.462","0.064","-0.933","0.355","-0.161","0.237","0.462","-0.09","-0.222","0.971"
"0.8664809","-0.224","0.235","0.462","0.064","-0.933","0.355","-0.161","0.237","0.462","-0.09","-0.222","0.971"
"0.8806352","-0.224","0.235","0.462","0.065","-0.933","0.355","-0.161","0.237","0.462","-0.09","-0.222","0.971"
"0.8947012","-0.224","0.235","0.462","0.057","-0.934","0.354","-0.161","0.237","0.462","-0.09","-0.222","0.971"
"0.9093624","-0.224","0.235","0.462","0.057","-0.933","0.354","-0.161","0.237","0.462","-0.09","-0.222","0.971"
"0.9240184","-0.224","0.235","0.462","0.058","-0.933","0.354","-0.161","0.237","0.462","-0.09","-0.222","0.971"
