frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"1.608415","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.068","-0.115","0.991"
"1.617344","-3.15","0","-120","-0.11","-0.24","0.965","3.15","0","-120","0.068","-0.115","0.991"
"1.631085","-3.15","0","-120","-0.11","-0.24","0.965","3.15","0","-120","0.068","-0.115","0.991"
"1.645317","-3.15","0","-120","-0.11","-0.24","0.965","3.15","0","-120","0.068","-0.115","0.991"
"1.660402","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.07","-0.099","0.993"
"1.673849","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.069","-0.097","0.993"
"1.688086","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.069","-0.095","0.993"
"1.702466","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.069","-0.092","0.993"
"1.716883","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.069","-0.092","0.993"
"1.731671","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.069","-0.091","0.993"
"1.746306","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.069","-0.091","0.993"
"1.764894","-3.15","0","-120","-0.11","-0.239","0.965","3.15","0","-120","0.067","-0.095","0.993"
"1.773791","-3.15","0","-120","-0.11","-0.24","0.965","3.15","0","-120","0.065","-0.1","0.993"
"1.78811","-3.15","0","-120","-0.111","-0.24","0.965","3.15","0","-120","0.063","-0.103","0.993"
"1.802474","-3.15","0","-120","-0.111","-0.239","0.965","3.15","0","-120","0.063","-0.106","0.992"
"1.816688","-3.15","0","-120","-0.111","-0.239","0.965","3.15","0","-120","0.063","-0.107","0.992"
"1.830943","-3.15","0","-120","-0.111","-0.239","0.965","3.15","0","-120","0.063","-0.109","0.992"
"1.846078","-3.15","0","-120","-0.039","-0.209","0.977","3.15","0","-120","0.115","-0.098","0.988"
"1.86019","-3.15","0","-120","0.002","-0.195","0.981","3.15","0","-120","0.129","-0.044","0.991"
"1.874014","-3.15","0","-120","0.003","-0.195","0.981","3.15","0","-120","0.13","-0.042","0.991"
"1.888151","-3.15","0","-120","0.007","-0.195","0.981","3.15","0","-120","0.13","-0.041","0.991"
"1.902631","-3.15","0","-120","0.009","-0.194","0.981","3.15","0","-120","0.129","-0.041","0.991"
"1.920625","-3.15","0","-120","0.01","-0.194","0.981","3.15","0","-120","0.129","-0.043","0.991"
"1.931093","-3.15","0","-120","0.01","-0.194","0.981","3.15","0","-120","0.127","-0.044","0.991"
"1.945292","-3.15","0","-120","0.01","-0.194","0.981","3.15","0","-120","0.127","-0.044","0.991"
"1.960198","-3.15","0","-120","0.01","-0.194","0.981","3.15","0","-120","0.128","-0.044","0.991"
"1.974107","-3.15","0","-120","0.01","-0.194","0.981","3.15","0","-120","0.127","-0.045","0.991"
"1.988182","-3.15","0","-120","0.01","-0.195","0.981","3.15","0","-120","0.127","-0.045","0.991"
"2.00237","-3.15","0","-120","0.009","-0.195","0.981","3.15","0","-120","0.129","-0.036","0.991"
"2.016696","-3.15","0","-120","0.009","-0.195","0.981","3.15","0","-120","0.128","-0.029","0.991"
"2.030995","-3.15","0","-120","0.009","-0.195","0.981","3.15","0","-120","0.128","-0.021","0.992"
"2.045373","-3.15","0","-120","0.009","-0.195","0.981","3.15","0","-120","0.127","-0.018","0.992"
"2.060316","-3.15","0","-120","0.009","-0.195","0.981","3.15","0","-120","0.127","-0.017","0.992"
"2.078194","-3.15","0","-120","0.01","-0.195","0.981","3.15","0","-120","0.126","-0.011","0.992"
"2.088059","-3.15","0","-120","0.012","-0.167","0.986","3.15","0","-120","0.125","-0.009","0.992"
"2.102456","-3.15","0","-120","0.013","-0.119","0.993","3.15","0","-120","0.122","-0.002","0.993"
"2.116727","-3.15","0","-120","0.016","-0.107","0.994","3.15","0","-120","0.122","0","0.993"
"2.131051","-3.15","0","-120","0.017","-0.102","0.995","3.15","0","-120","0.12","0.004","0.993"
"2.145186","-3.15","0","-120","0.017","-0.101","0.995","3.15","0","-120","0.119","0.008","0.993"
"2.16021","-3.15","0","-120","0.017","-0.101","0.995","3.15","0","-120","0.119","0.009","0.993"
"2.173856","-3.15","0","-120","0.017","-0.101","0.995","3.15","0","-120","0.118","0.01","0.993"
"2.188407","-3.15","0","-120","0.015","-0.101","0.995","3.15","0","-120","0.118","0.011","0.993"
"2.202461","-3.15","0","-120","0.014","-0.1","0.995","3.15","0","-120","0.117","0.011","0.993"
"2.216733","-3.15","0","-120","0.012","-0.099","0.995","3.15","0","-120","0.117","0.012","0.993"
"2.235105","-3.15","0","-120","0.009","-0.098","0.995","3.15","0","-120","0.117","0.012","0.993"
"2.24523","-3.15","0","-120","0.008","-0.096","0.995","3.15","0","-120","0.116","0.011","0.993"
"2.260304","-3.15","0","-120","0.007","-0.096","0.995","3.15","0","-120","0.116","0.011","0.993"
"2.273849","-3.15","0","-120","0.007","-0.094","0.996","3.15","0","-120","0.115","0.011","0.993"
"2.288119","-3.15","0","-120","0.007","-0.094","0.996","3.15","0","-120","0.115","0.01","0.993"
"2.302345","-3.15","0","-120","0.007","-0.094","0.996","3.15","0","-120","0.114","0.01","0.993"
"2.316835","-3.15","0","-120","0.007","-0.093","0.996","3.15","0","-120","0.114","0.009","0.993"
"2.330906","-3.15","0","-120","0.007","-0.093","0.996","3.15","0","-120","0.114","0.009","0.993"
"2.345279","-3.15","0","-120","0.006","-0.092","0.996","3.15","0","-120","0.113","0.009","0.994"
"2.361119","-3.15","0","-120","0.004","-0.092","0.996","3.15","0","-120","0.113","0.009","0.994"
"2.373986","-3.15","0","-120","0.002","-0.093","0.996","3.15","0","-120","0.113","0.009","0.994"
"2.392431","-3.15","0","-120","0.001","-0.093","0.996","3.15","0","-120","0.111","0.008","0.994"
"2.402325","-3.15","0","-120","0.001","-0.092","0.996","3.15","0","-120","0.111","0.008","0.994"
"2.416732","-3.15","0","-120","0","-0.092","0.996","3.15","0","-120","0.111","0.008","0.994"
"2.43094","-3.15","0","-120","-0.004","-0.094","0.996","3.15","0","-120","0.11","0.009","0.994"
"2.445233","-3.15","0","-120","-0.011","-0.093","0.996","3.15","0","-120","0.104","0.015","0.994"
"2.460337","-3.15","0","-120","-0.016","-0.093","0.996","3.15","0","-120","0.081","0.053","0.995"
"2.473832","-3.15","0","-120","-0.017","-0.092","0.996","3.15","0","-120","0.077","0.058","0.995"
"2.488139","-3.15","0","-120","-0.017","-0.091","0.996","3.15","0","-120","0.076","0.058","0.995"
"2.502454","-3.15","0","-120","-0.017","-0.091","0.996","3.15","0","-120","0.075","0.059","0.995"
"2.516685","-3.15","0","-120","-0.017","-0.091","0.996","3.15","0","-120","0.075","0.061","0.995"
"2.530991","-3.15","0","-120","-0.018","-0.091","0.996","3.15","0","-120","0.075","0.061","0.995"
"2.549153","-3.15","0","-120","-0.018","-0.09","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.560232","-3.15","0","-120","-0.018","-0.089","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.573794","-3.15","0","-120","-0.019","-0.087","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.588078","-3.15","0","-120","-0.019","-0.087","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.602685","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.062","0.995"
"2.6167","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.063","0.995"
"2.630909","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.063","0.995"
"2.645502","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.074","0.063","0.995"
"2.660407","-3.15","0","-120","-0.02","-0.087","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.673785","-3.15","0","-120","-0.021","-0.086","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.688297","-3.15","0","-120","-0.021","-0.086","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.70676","-3.15","0","-120","-0.021","-0.087","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.716871","-3.15","0","-120","-0.022","-0.088","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.730933","-3.15","0","-120","-0.022","-0.088","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.745282","-3.15","0","-120","-0.023","-0.089","0.996","3.15","0","-120","0.075","0.063","0.995"
"2.760248","-3.15","0","-120","-0.083","-0.104","0.991","3.15","0","-120","0.048","0.056","0.997"
"2.773853","-3.15","0","-120","-0.083","-0.104","0.991","3.15","0","-120","0.047","0.056","0.997"
"2.7881","-3.15","0","-120","-0.084","-0.105","0.991","3.15","0","-120","0.05","0.042","0.998"
