frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"2.884605","-3.15","0","-120","-0.235","0.139","0.962","3.15","0","-120","0.005","0.064","0.998"
"2.896989","-3.15","0","-120","-0.173","0.153","0.973","3.15","0","-120","0.039","0.056","0.998"
"2.910773","-3.15","0","-120","-0.164","0.146","0.976","3.15","0","-120","0.059","0.046","0.997"
"2.925872","-3.15","0","-120","-0.157","0.148","0.976","3.15","0","-120","0.059","0.045","0.997"
"2.939493","-3.15","0","-120","-0.149","0.149","0.978","3.15","0","-120","0.062","0.042","0.997"
"2.953703","-3.15","0","-120","-0.148","0.149","0.978","3.15","0","-120","0.062","0.041","0.997"
"2.967999","-3.15","0","-120","-0.145","0.15","0.978","3.15","0","-120","0.062","0.04","0.997"
"2.982308","-3.15","0","-120","-0.145","0.149","0.978","3.15","0","-120","0.062","0.038","0.997"
"2.997523","-3.15","0","-120","-0.143","0.147","0.979","3.15","0","-120","0.062","0.036","0.997"
"3.010783","-3.15","0","-120","-0.14","0.146","0.979","3.15","0","-120","0.063","0.034","0.997"
"3.02584","-3.15","0","-120","-0.136","0.145","0.98","3.15","0","-120","0.064","0.031","0.997"
"3.039449","-3.15","0","-120","-0.133","0.145","0.98","3.15","0","-120","0.065","0.029","0.997"
"3.053761","-3.15","0","-120","-0.128","0.146","0.981","3.15","0","-120","0.065","0.028","0.997"
"3.068075","-3.15","0","-120","-0.125","0.145","0.981","3.15","0","-120","0.066","0.027","0.997"
"3.082512","-3.15","0","-120","-0.132","0.143","0.981","3.15","0","-120","0.067","0.026","0.997"
"3.09666","-3.15","0","-120","-0.137","0.142","0.98","3.15","0","-120","0.068","0.025","0.997"
"3.110934","-3.15","0","-120","-0.138","0.141","0.98","3.15","0","-120","0.069","0.025","0.997"
"3.126108","-3.15","0","-120","-0.139","0.141","0.98","3.15","0","-120","0.071","0.024","0.997"
"3.139366","-3.15","0","-120","-0.14","0.14","0.98","3.15","0","-120","0.072","0.024","0.997"
"3.15374","-3.15","0","-120","-0.14","0.14","0.98","3.15","0","-120","0.074","0.023","0.997"
"3.168021","-3.15","0","-120","-0.139","0.14","0.98","3.15","0","-120","0.076","0.021","0.997"
"3.182378","-3.15","0","-120","-0.139","0.139","0.98","3.15","0","-120","0.077","0.02","0.997"
"3.1968","-3.15","0","-120","-0.139","0.139","0.98","3.15","0","-120","0.078","0.02","0.997"
"3.210955","-3.15","0","-120","-0.141","0.138","0.98","3.15","0","-120","0.078","0.019","0.997"
"3.225821","-3.15","0","-120","-0.142","0.137","0.98","3.15","0","-120","0.078","0.019","0.997"
"3.239409","-3.15","0","-120","-0.143","0.136","0.98","3.15","0","-120","0.078","0.018","0.997"
"3.254056","-3.15","0","-120","-0.143","0.136","0.98","3.15","0","-120","0.078","0.018","0.997"
"3.267993","-3.15","0","-120","-0.143","0.136","0.98","3.15","0","-120","0.078","0.018","0.997"
"3.282336","-3.15","0","-120","-0.143","0.136","0.98","3.15","0","-120","0.079","0.017","0.997"
"3.296656","-3.15","0","-120","-0.142","0.136","0.98","3.15","0","-120","0.081","0.017","0.997"
"3.31095","-3.15","0","-120","-0.135","0.138","0.981","3.15","0","-120","0.087","0.024","0.996"
"3.325787","-3.15","0","-120","-0.128","0.139","0.982","3.15","0","-120","0.09","0.032","0.995"
"3.340211","-3.15","0","-120","-0.126","0.139","0.982","3.15","0","-120","0.09","0.032","0.995"
"3.353726","-3.15","0","-120","-0.126","0.135","0.983","3.15","0","-120","0.091","0.035","0.995"
"3.368064","-3.15","0","-120","-0.131","0.128","0.983","3.15","0","-120","0.092","0.033","0.995"
"3.382371","-3.15","0","-120","-0.125","0.119","0.985","3.15","0","-120","0.101","0.013","0.995"
"3.396727","-3.15","0","-120","-0.126","0.104","0.987","3.15","0","-120","0.107","-0.007","0.994"
"3.411103","-3.15","0","-120","-0.127","0.103","0.987","3.15","0","-120","0.109","-0.017","0.994"
