frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.167","-0.297","0.94","-0.051","-0.179","0.982","31.825","-129.042","523.169"
"0.01448822","0.167","-0.297","0.94","-0.051","-0.179","0.982","28.889","-117.187","475.04"
"0.02839661","0.167","-0.297","0.94","-0.051","-0.179","0.982","28.873","-117.189","475.041"
"0.0426712","0.167","-0.297","0.94","-0.051","-0.179","0.982","26.773","-108.703","440.674"
"0.0569458","0.167","-0.297","0.94","-0.051","-0.179","0.982","33.39","-135.534","549.434"
"0.07206726","0.167","-0.297","0.94","-0.05","-0.179","0.982","27.688","-112.335","455.109"
"0.08545685","0.167","-0.297","0.94","-0.05","-0.179","0.983","37.969","-153.291","620.86"
"0.09991455","0.167","-0.297","0.94","-0.049","-0.179","0.983","38.016","-153.306","620.853"
"0.1142349","0.167","-0.297","0.94","-0.048","-0.178","0.983","38.019","-153.26","620.865"
"0.1281967","0.167","-0.297","0.94","-0.048","-0.178","0.983","38.045","-153.084","620.906"
"0.1426239","0.167","-0.296","0.94","-0.048","-0.178","0.983","38.167","-152.8","620.969"
"0.1569138","0.167","-0.296","0.94","-0.047","-0.177","0.983","38.294","-152.596","621.011"
"0.1717529","0.167","-0.296","0.941","-0.047","-0.176","0.983","36.534","-144.572","589.727"
"0.1869278","0.167","-0.295","0.941","-0.047","-0.175","0.983","37.006","-145.081","593.678"
"0.2001495","0.168","-0.295","0.941","-0.046","-0.174","0.984","35.187","-137.538","563.315"
"0.2141418","0.168","-0.295","0.941","-0.046","-0.173","0.984","41.698","-161.98","664.406"
"0.2284241","0.168","-0.295","0.941","-0.046","-0.173","0.984","41.815","-161.869","664.426"
"0.2426987","0.168","-0.295","0.941","-0.046","-0.173","0.984","41.86","-161.819","664.435"
"0.2571106","0.168","-0.295","0.941","-0.046","-0.172","0.984","41.933","-161.704","664.458"
"0.2718277","0.168","-0.295","0.941","-0.045","-0.172","0.984","41.987","-161.607","664.479"
"0.2865067","0.168","-0.295","0.941","-0.045","-0.172","0.984","41.997","-161.61","664.477"
"0.2998199","0.168","-0.295","0.941","-0.045","-0.172","0.984","41.987","-161.613","664.477"
