frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.02","0.012","1","-0.19","-0.441","0.877","-61.87","-151.177","300.466"
"0.01477051","0.02","0.012","1","-0.03","0.035","0.999","-7.16","11.824","342.222"
"0.0322113","0.02","0.012","1","-0.03","0.035","0.999","-7.151","11.831","342.222"
"0.04476929","0.02","0.012","1","-0.03","0.035","0.999","-7.132","11.856","342.222"
"0.05819702","0.02","0.012","1","-0.03","0.035","0.999","-7.13","11.865","342.221"
"0.07252502","0.02","0.012","1","-0.03","0.035","0.999","0","0","0"
"0.08693695","0.02","0.012","1","-0.03","0.035","0.999","0","0","0"
"0.1010666","0.02","0.012","1","-0.03","0.035","0.999","0","0","0"
"0.1153336","0.02","0.012","1","-0.03","0.035","0.999","0","0","0"
"0.1300201","0.02","0.012","1","-0.03","0.035","0.999","0","0","0"
"0.144722","0.02","0.012","1","-0.03","0.035","0.999","-7.072","11.901","342.222"
"0.1580353","0.02","0.012","1","-0.04","0.055","0.998","-7.168","15.907","342.137"
"0.1726074","0.02","0.012","1","-0.04","0.055","0.998","-5.701","14.413","342.231"
"0.1870804","0.02","0.013","1","-0.039","0.055","0.998","-4.43","13.151","342.3"
"0.2006378","0.022","0.014","1","-0.039","0.053","0.998","-4.081","13.033","342.309"
"0.2129211","0.022","0.016","1","-0.033","0.048","0.998","-3.133","12.556","342.337"
"0.2269745","0.023","0.017","1","-0.03","0.044","0.999","-2.573","12.24","342.353"
"0.2411346","0.023","0.019","1","-0.029","0.042","0.999","-2.245","12.094","342.36"
"0.2553558","0.023","0.019","1","-0.027","0.04","0.999","-1.845","11.364","342.388"
"0.2698288","0.023","0.019","1","-0.027","0.04","0.999","-1.794","11.303","342.39"
"0.2840958","0.023","0.019","1","-0.027","0.04","0.999","-1.588","11.093","342.398"
"0.2983627","0.024","0.022","0.999","-0.027","0.04","0.999","-1.325","11.324","342.392"
"0.3124542","0.024","0.024","0.999","-0.027","0.04","0.999","-1.252","11.431","342.388"
"0.3271179","0.026","0.027","0.999","-0.027","0.04","0.999","-1.182","11.541","342.385"
"0.3411865","0.029","0.029","0.999","-0.026","0.041","0.999","-0.313","12.001","342.371"
"0.3554611","0.078","0.053","0.996","0.032","0.05","0.998","39.236","19.946","339.742"
"0.3696899","0.163","0.067","0.984","0.121","0.058","0.991","49.669","21.883","338.255"
"0.384079","0.171","0.069","0.983","0.128","0.06","0.99","51.15","22.103","338.019"
"0.3983231","0.175","0.07","0.982","0.13","0.061","0.99","52.135","22.385","337.85"
"0.4126129","0.177","0.07","0.982","0.13","0.061","0.99","52.532","22.603","337.774"
"0.426918","0.18","0.07","0.981","0.13","0.064","0.989","52.676","22.765","337.741"
"0.4411774","0.181","0.07","0.981","0.13","0.069","0.989","53.107","23.275","337.639"
"0.4553223","0.183","0.07","0.981","0.131","0.071","0.989","53.572","23.717","337.534"
"0.46978","0.184","0.071","0.98","0.132","0.073","0.989","53.929","24.118","337.449"
"0.4841232","0.185","0.072","0.98","0.133","0.074","0.988","54.483","24.601","337.325"
"0.4984207","0.187","0.072","0.98","0.134","0.076","0.988","48.399","22.075","297.72"
"0.5125732","0.201","0.085","0.976","0.163","0.095","0.982","55.182","27.181","296.114"
"0.5271835","0.229","0.119","0.966","0.173","0.128","0.977","60.673","37.333","293.925"
"0.5412369","0.232","0.124","0.965","0.168","0.142","0.975","60.759","39.939","293.565"
"0.5555573","0.233","0.126","0.964","0.169","0.145","0.975","61.118","41.753","293.238"
"0.5697021","0.234","0.129","0.964","0.169","0.151","0.974","61.194","42.183","293.161"
"0.5840836","0.235","0.13","0.963","0.169","0.154","0.973","61.265","42.927","293.037"
"0.5982361","0.234","0.132","0.963","0.169","0.156","0.973","61.186","43.36","292.99"
"0.6125946","0.234","0.132","0.963","0.169","0.157","0.973","61.144","43.568","292.968"
"0.626915","0.202","0.135","0.97","0.125","0.174","0.977","49.554","46.773","294.659"
"0.6412277","0.105","0.142","0.984","0.067","0.172","0.983","7.522","20.566","136.837"
"0.655426","0.078","0.126","0.989","0.027","0.168","0.985","5.742","15.883","106.945"
"0.6698074","0.078","0.123","0.989","0.02","0.167","0.986","5.73","16.467","112.031"
"0.6839066","0.082","0.141","0.987","0.014","0.164","0.986","5.556","16.703","112.07"
"0.6983566","0.084","0.146","0.986","0.011","0.162","0.987","5.549","17.102","113.32"
"0.7125778","0.086","0.15","0.985","0.009","0.16","0.987","5.219","16.125","106.731"
"0.727066","0.086","0.15","0.985","0.007","0.158","0.987","5.582","17.379","114.598"
"0.7411041","0.086","0.151","0.985","0.006","0.157","0.988","5.292","16.487","108.651"
"0.7554932","0.087","0.151","0.985","0.006","0.156","0.988","5.447","16.969","111.798"
"0.7697144","0.087","0.152","0.985","0.005","0.155","0.988","5.298","16.547","108.962"
"0.7839966","0.087","0.152","0.985","0.004","0.154","0.988","5.406","17.02","112.11"
"0.798317","0.082","0.148","0.985","0.001","0.154","0.988","4.66","16.031","106.064"
"0.8126373","0.007","0.091","0.996","-0.083","0.095","0.992","-3.911","9.778","104.731"
"0.8271179","0.002","0.084","0.996","-0.087","0.089","0.992","-4.441","9.144","104.767"
"0.8411484","0","0.079","0.997","-0.089","0.088","0.992","-4.756","8.67","104.793"
"0.8553696","-0.001","0.076","0.997","-0.091","0.086","0.992","-4.828","8.6","104.796"
"0.8697739","-0.003","0.076","0.997","-0.095","0.086","0.992","-5.114","8.578","104.784"
"0.8839569","-0.005","0.076","0.997","-0.104","0.086","0.991","-4.912","7.258","87.873"
"0.8983688","-0.006","0.076","0.997","-0.111","0.088","0.99","-4.963","6.85","83.668"
"0.9125595","-0.007","0.075","0.997","-0.117","0.089","0.989","-5.32","7.175","87.298"
"0.9269638","-0.019","0.08","0.997","-0.118","0.089","0.989","-6.193","7.837","92.801"
"0.9412384","-0.077","0.095","0.993","-0.148","0.098","0.984","-15.295","9.874","91.545"
"0.9557419","-0.143","0.097","0.985","-0.206","0.11","0.972","-17.339","10.432","98.246"
"0.9696884","-0.141","0.099","0.985","-0.214","0.113","0.97","-15.242","9.214","85.928"
"0.9840851","-0.14","0.098","0.985","-0.218","0.114","0.969","-15.405","9.297","86.564"
"0.9983063","-0.137","0.098","0.986","-0.218","0.113","0.969","-15.368","9.279","86.394"
"1.01252","-0.136","0.098","0.986","-0.219","0.114","0.969","-16.568","10.01","93.182"
"1.026932","-0.129","0.099","0.987","-0.218","0.117","0.969","-16.444","10.166","93.187"
"1.041374","-0.127","0.099","0.987","-0.218","0.118","0.969","-16.408","10.202","93.19"
"1.055489","-0.106","0.111","0.988","-0.173","0.138","0.975","-13.32","11.863","93.485"
"1.069786","-0.092","0.129","0.987","-0.169","0.143","0.975","-12.493","12.939","93.457"
"1.084084","-0.091","0.131","0.987","-0.169","0.146","0.975","-12.266","13.446","93.415"
"1.098381","-0.089","0.136","0.987","-0.167","0.149","0.975","-12.233","13.529","93.407"
"1.11264","-0.088","0.14","0.986","-0.166","0.151","0.974","-12.124","13.865","93.373"
"1.127022","-0.088","0.142","0.986","-0.166","0.153","0.974","-12.057","14.165","93.336"
"1.141235","-0.088","0.146","0.985","-0.165","0.154","0.974","-12.025","14.237","93.329"
"1.155464","-0.088","0.149","0.985","-0.164","0.155","0.974","-11.983","14.429","93.305"
"1.169708","-0.09","0.154","0.984","-0.163","0.156","0.974","-11.983","14.655","93.27"
"1.184013","-0.09","0.154","0.984","-0.163","0.157","0.974","-11.97","14.71","93.263"
"1.198227","-0.092","0.157","0.983","-0.162","0.157","0.974","-11.972","14.788","93.25"
"1.212471","-0.094","0.16","0.983","-0.161","0.158","0.974","-12.012","14.904","93.227"
"1.226784","-0.129","0.148","0.98","-0.187","0.147","0.971","-15.048","13.993","92.927"
"1.241333","-0.208","0.085","0.975","-0.296","0.093","0.951","-22.7","8.013","86.919"
"1.255417","-0.206","0.074","0.976","-0.308","0.065","0.949","-20.588","5.684","77.688"
"1.269814","-0.205","0.073","0.976","-0.306","0.058","0.95","-21.583","5.284","82.387"
"1.284073","-0.204","0.066","0.977","-0.301","0.049","0.953","-21.386","4.952","81.911"
"1.298317","-0.199","0.059","0.978","-0.293","0.049","0.955","-22.914","5.112","89.773"
"1.312431","-0.185","0.056","0.981","-0.286","0.064","0.956","-22.403","5.537","91.243"
"1.326988","-0.179","0.055","0.982","-0.283","0.071","0.956","-22.08","5.822","91.651"
"1.34108","-0.171","0.052","0.984","-0.279","0.075","0.957","-21.702","5.975","92.774"
"1.355263","-0.165","0.052","0.985","-0.272","0.08","0.959","-23.115","6.833","102.239"
"1.369637","-0.162","0.053","0.985","-0.269","0.083","0.96","-21.255","6.843","96.836"
"1.384071","-0.151","0.057","0.987","-0.269","0.083","0.96","-22.147","7.173","101.305"
"1.398178","-0.147","0.057","0.988","-0.268","0.083","0.96","-22.192","7.304","102.645"
"1.412567","-0.146","0.058","0.988","-0.268","0.083","0.96","-21.911","7.362","102.758"
"1.427063","-0.143","0.058","0.988","-0.267","0.083","0.96","-21.69","7.304","102.348"
"1.441132","-0.142","0.058","0.988","-0.267","0.083","0.96","-22.321","7.566","106"
"1.455368","-0.141","0.057","0.988","-0.265","0.082","0.961","-21.752","7.357","103.856"
"1.469666","-0.139","0.055","0.989","-0.265","0.082","0.961","-20.478","1.88","88.735"
"1.484077","-0.17","-0.04","0.985","-0.324","-0.054","0.944","-19.828","-3.911","77.105"
"1.498268","-0.174","-0.079","0.982","-0.33","-0.095","0.939","-20.163","-6.942","76.804"
"1.512413","-0.173","-0.084","0.981","-0.328","-0.099","0.939","-20.043","-7.314","76.801"
"1.526855","-0.173","-0.086","0.981","-0.327","-0.097","0.94","-20.035","-7.312","76.804"
"1.541176","-0.173","-0.087","0.981","-0.325","-0.094","0.941","-19.986","-7.294","76.818"
