frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.43","-0.155","0.889","-0.025","0.049","0.998","5245.821","-1353.502","24356.6"
"0.0141449","0.43","-0.155","0.889","-0.025","0.049","0.998","5235.719","-1360.322","24358.39"
"0.02836609","0.424","-0.152","0.893","-0.025","0.049","0.998","5204.243","-1349.5","24365.74"
"0.04338074","0.424","-0.152","0.893","-0.026","0.049","0.998","5191.374","-1348.122","24368.56"
"0.05801392","0.424","-0.153","0.893","-0.026","0.049","0.998","5185.877","-1348.344","24369.72"
"0.07133484","0.424","-0.153","0.893","-0.026","0.049","0.998","5173.904","-1347.494","24372.31"
"0.08554077","0.424","-0.154","0.892","-0.027","0.049","0.998","5170.567","-1348.011","24372.99"
"0.09989929","0.424","-0.154","0.892","-0.027","0.05","0.998","5163.918","-1346.524","24374.48"
"0.11409","0.424","-0.154","0.893","-0.027","0.05","0.998","5157.119","-1349.324","24375.77"
"0.1284943","0.424","-0.154","0.892","-0.027","0.05","0.998","5158.507","-1345.902","24375.66"
"0.1432037","0.424","-0.154","0.892","-0.027","0.05","0.998","5159.262","-1345.415","24375.53"
"0.1580048","0.424","-0.154","0.892","-0.027","0.05","0.998","5160.384","-1343.645","24375.39"
"0.1713257","0.425","-0.154","0.892","-0.027","0.05","0.998","5158.535","-1343.21","24375.8"
"0.1856079","0.425","-0.154","0.892","-0.027","0.05","0.998","5158.07","-1342.589","24375.94"
"0.2000122","0.424","-0.154","0.892","-0.027","0.05","0.998","5152.174","-1340.897","24377.28"
"0.2142181","0.423","-0.153","0.893","-0.027","0.05","0.998","5139.217","-1338.273","24380.15"
"0.2286835","0.423","-0.153","0.893","-0.028","0.049","0.998","5121.948","-1336.74","24383.87"
"0.2433472","0.423","-0.153","0.893","-0.028","0.049","0.998","5117.656","-1337.18","24384.75"
"0.2580261","0.422","-0.153","0.893","-0.029","0.049","0.998","5109.109","-1339.438","24386.42"
"0.2714844","0.422","-0.153","0.894","-0.029","0.049","0.998","5080.377","-1361.41","24391.2"
"0.2857513","0.421","-0.153","0.894","-0.03","0.048","0.998","5075.34","-1364.222","24392.1"
"0.299881","0.419","-0.152","0.895","-0.029","0.048","0.998","5073.604","-1358.293","24392.79"
"0.3141022","0.418","-0.152","0.895","-0.029","0.048","0.998","5071.454","-1351.45","24393.61"
"0.3285217","0.415","-0.15","0.898","-0.029","0.048","0.998","5056.619","-1346.644","24396.96"
