frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","-0.015","0.033","0.999","0.001","0.038","0.999","-28.678","150.444","4431.825"
"0.01428223","-0.015","0.033","0.999","0.001","0.038","0.999","-25.591","152.408","4431.776"
"0.03244019","-0.013","0.034","0.999","0.001","0.038","0.999","-25.48","152.538","4431.772"
"0.04405212","-0.013","0.033","0.999","0.001","0.038","0.999","-25.568","151.664","4431.802"
"0.05813599","-0.013","0.034","0.999","0.001","0.037","0.999","-25.534","151.555","4431.806"
"0.07354736","-0.012","0.034","0.999","0.001","0.037","0.999","-25.548","151.358","4431.813"
"0.08657837","-0.012","0.034","0.999","0.001","0.037","0.999","-24.555","151.099","4431.827"
"0.1009674","-0.011","0.035","0.999","0.001","0.037","0.999","-19.922","155.066","4431.713"
"0.1154633","-0.01","0.035","0.999","0.002","0.037","0.999","-19.231","155.181","4431.712"
"0.1295929","-0.01","0.035","0.999","0.002","0.037","0.999","-18.049","155.392","4431.71"
"0.1438446","-0.009","0.036","0.999","0.002","0.037","0.999","-15.848","155.766","4431.705"
"0.1584473","-0.008","0.036","0.999","0.002","0.037","0.999","-14.576","158.166","4431.625"
"0.1744537","-0.008","0.036","0.999","0.003","0.038","0.999","-24.658","43.325","4434.19"
"0.1866455","-0.012","0.019","1","0.005","0.02","1","-24.657","78.628","4433.705"
"0.2010498","-0.017","0.033","0.999","0.003","0.009","1","-24.974","78.755","4433.7"
"0.2151642","-0.018","0.037","0.999","0.003","-0.003","1","-25.803","78.481","4433.701"
"0.2296753","-0.018","0.039","0.999","0.003","-0.004","1","-25.017","77.839","4433.716"
"0.2437134","-0.006","0.024","1","0.003","0.006","1","-24.439","76.661","4433.74"
"0.2581024","-0.007","0.019","1","0.001","0.025","1","-21.615","79.654","4433.702"
"0.2732086","-0.005","0.019","1","0.002","0.03","1","-14.05","92.607","4433.481"
"0.2864838","-0.004","0.016","1","0.001","0.035","0.999","-9.566","93.082","4433.483"
"0.3009033","0.001","0.011","1","0.004","0.041","0.999","-5.356","95.29","4433.443"
"0.3152466","0.001","0.01","1","0.004","0.041","0.999","-3.366","96.966","4433.408"
"0.3297577","0","0.01","1","0.004","0.042","0.999","-3.419","96.553","4433.417"
"0.3435974","0","0.008","1","0.004","0.043","0.999","-4.549","95.769","4433.434"
"0.3579559","-0.001","0.008","1","0.003","0.044","0.999","-5.537","95.93","4433.429"
"0.3730621","-0.001","0.008","1","0.002","0.044","0.999","-5.355","99.383","4433.353"
"0.3864441","0.001","0.008","1","0","0.044","0.999","-5.742","97.81","4433.388"
"0.4007721","0.001","0.007","1","-0.003","0.031","1","-7.1","92.301","4433.504"
"0.4151306","0.001","0.007","1","-0.004","0.026","1","5.035","72.909","1391.035"
"0.4295349","0.045","0.146","0.988","-0.002","0.075","0.997","31.364","202.55","1377.792"
"0.4436188","0.049","0.206","0.977","0.007","0.141","0.99","39.137","241.671","1371.271"
"0.4579163","0.051","0.21","0.976","0.009","0.148","0.989","41.737","249.754","1369.745"
"0.4730072","0.05","0.209","0.977","0.011","0.155","0.988","42.279","249.327","1369.806"
"0.4864807","0.054","0.205","0.977","0.011","0.154","0.988","42.623","247.792","1370.074"
"0.5007324","0.058","0.201","0.978","0.01","0.153","0.988","42.653","246.962","1370.223"
"0.5151825","0.059","0.199","0.978","0.01","0.152","0.988","43.109","244.797","1370.597"
"0.5293579","0.059","0.191","0.98","0.01","0.151","0.988","43.381","240.961","1371.268"
"0.5413818","0.06","0.185","0.981","0.009","0.15","0.989","43.444","235.943","1372.138"
"0.5555573","0.06","0.184","0.981","0.009","0.149","0.989","43.57","234.045","1372.459"
"0.5705414","0.06","0.184","0.981","0.008","0.148","0.989","43.497","233.601","1372.537"
"0.5843201","0.062","0.183","0.981","0.007","0.147","0.989","43.645","232.532","1372.714"
"0.5982971","0.062","0.182","0.981","0.005","0.147","0.989","43.674","231.426","1372.9"
"0.6125641","0.062","0.182","0.981","0.005","0.146","0.989","43.651","230.475","1373.061"
"0.6273499","0.062","0.182","0.981","0.003","0.145","0.989","43.446","230.271","1373.101"
"0.6410828","0.064","0.182","0.981","0.002","0.145","0.989","43.322","229.149","1373.293"
"0.6554871","0.064","0.181","0.981","0.002","0.144","0.99","42.478","227.704","1373.56"
"0.6704865","0.064","0.181","0.981","-0.001","0.143","0.99","42.31","227.388","1373.617"
"0.6841125","0.062","0.179","0.982","-0.004","0.142","0.99","39.589","225.456","1374.017"
"0.6983032","0.061","0.18","0.982","-0.006","0.141","0.99","37.079","225.087","1374.147"
"0.7126312","0.061","0.18","0.982","-0.01","0.14","0.99","36.995","224.893","1374.181"
"0.7268372","0.061","0.18","0.982","-0.013","0.139","0.99","36.194","224.015","1374.346"
"0.7411957","0.061","0.178","0.982","-0.016","0.136","0.991","34.269","220.748","1374.924"
"0.7555237","0.062","0.178","0.982","-0.019","0.135","0.991","32.144","219.383","1375.194"
"0.7703094","0.062","0.176","0.982","-0.024","0.132","0.991","29.901","216.091","1375.765"
"0.7840881","0.06","0.17","0.984","-0.065","0.132","0.989","8.434","212.432","1376.634"
"0.7983246","0.033","0.162","0.986","-0.097","0.131","0.987","-81.637","200.182","1376.075"
"0.8126526","-0.016","0.155","0.988","-0.129","0.129","0.983","-101.209","198.099","1375.076"
"0.8271179","-0.022","0.157","0.987","-0.134","0.13","0.982","-108.716","199.789","1374.258"
"0.8412323","-0.027","0.159","0.987","-0.136","0.13","0.982","-116.474","203.69","1373.049"
"0.8555908","-0.032","0.162","0.986","-0.139","0.132","0.981","-119.124","205.143","1372.605"
"0.8702393","-0.034","0.167","0.985","-0.142","0.135","0.981","-122.28","209.819","1371.621"
"0.8839417","-0.039","0.172","0.984","-0.144","0.136","0.98","-126.225","213.831","1370.643"
"0.8983307","-0.041","0.174","0.984","-0.145","0.137","0.98","-129.263","216.758","1369.9"
"0.9125519","-0.043","0.174","0.984","-0.147","0.139","0.979","-131.424","218.193","1369.467"
"0.9268188","-0.046","0.176","0.983","-0.149","0.14","0.979","-135.01","220.395","1368.765"
"0.9411011","-0.046","0.176","0.983","-0.15","0.142","0.979","-137.759","221.264","1368.351"
"0.9554291","-0.049","0.176","0.983","-0.152","0.143","0.978","-139.972","222.268","1367.964"
