frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.272","-0.357","0.894","0.274","-0.356","0.893","30.034","-39.189","98.28"
"0.03063965","0.283","-0.353","0.892","0.286","-0.356","0.89","46.56","-56.125","140.848"
"0.04295349","0.312","-0.352","0.882","0.35","-0.353","0.868","51.138","-54.946","136.713"
"0.05692291","0.319","-0.35","0.881","0.35","-0.353","0.867","41.819","-44.22","110.125"
"0.07099915","0.32","-0.35","0.88","0.35","-0.353","0.867","43.361","-45.888","114.143"
"0.08565521","0.32","-0.351","0.88","0.35","-0.354","0.868","43.042","-45.609","113.4"
"0.100563","0.319","-0.352","0.88","0.348","-0.354","0.868","51.733","-55.414","137.399"
"0.114151","0.308","-0.358","0.882","0.343","-0.354","0.87","54.532","-59.546","147"
"0.1280746","0.289","-0.361","0.887","0.339","-0.354","0.872","67.189","-76","187.346"
"0.1431732","0.282","-0.361","0.889","0.33","-0.354","0.875","68.222","-79.492","196.52"
"0.1569824","0.262","-0.359","0.896","0.318","-0.352","0.88","64.637","-79.118","197.878"
"0.171257","0.249","-0.353","0.902","0.306","-0.349","0.886","144.948","-182.876","466.115"
"0.1854324","0.25","-0.349","0.903","0.306","-0.348","0.886","162.397","-203.822","522.401"
"0.1998062","0.256","-0.342","0.904","0.308","-0.346","0.886","142.403","-174.54","452.687"
"0.2141113","0.255","-0.341","0.905","0.308","-0.344","0.887","105.069","-128.009","334.376"
"0.2287445","0.255","-0.341","0.905","0.307","-0.341","0.888","93.207","-113.444","296.812"
"0.2432632","0.255","-0.341","0.905","0.305","-0.34","0.89","68.308","-83.342","219.225"
"0.2570572","0.254","-0.341","0.905","0.303","-0.338","0.891","68.027","-83.025","218.596"
"0.2712402","0.255","-0.341","0.905","0.302","-0.337","0.892","63.862","-77.867","205.377"
"0.2855072","0.254","-0.341","0.905","0.302","-0.336","0.892","63.815","-77.819","205.41"
"0.2996597","0.255","-0.341","0.905","0.302","-0.335","0.892","63.843","-77.744","205.429"
"0.3137817","0.255","-0.341","0.905","0.303","-0.334","0.892","64.119","-77.33","205.5"
"0.3284225","0.257","-0.339","0.905","0.305","-0.332","0.893","64.794","-76.421","205.628"
