frameTime,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze direction x,rightGaze direction y,rightGaze direction z,eyePos3D x,eyePos3D y,eyePos3D z
"0","0.136","-0.272","0.953","0.04","-0.225","0.974","2.479","-7.092","27.559"
"0.01493835","0.142","-0.271","0.952","0.044","-0.229","0.972","3.35","-9.009","34.229"
"0.03365326","0.146","-0.279","0.949","0.044","-0.23","0.972","3.35","-9.009","34.229"
"0.04386139","0.17","-0.274","0.947","0.05","-0.232","0.971","4.198","-9.814","37.092"
"0.05825043","0.2","-0.268","0.942","0.069","-0.249","0.966","5.617","-10.892","40.25"
"0.07257843","0.221","-0.268","0.938","0.083","-0.261","0.962","7.616","-11.388","41.421"
"0.08718872","0.261","-0.243","0.934","0.102","-0.271","0.957","6.464","-8.921","32.652"
"0.1011581","0.282","-0.229","0.932","0.113","-0.276","0.955","6.219","-8.08","29.781"
"0.1161423","0.282","-0.232","0.931","0.123","-0.278","0.953","6.292","-8.112","29.757"
"0.1301804","0.283","-0.233","0.93","0.126","-0.279","0.952","6.506","-8.141","29.703"
"0.1441193","0.288","-0.234","0.929","0.131","-0.28","0.951","6.595","-8.151","29.681"
"0.158226","0.295","-0.234","0.927","0.135","-0.28","0.95","6.779","-8.145","29.641"
"0.1726685","0.301","-0.234","0.925","0.138","-0.28","0.95","6.916","-8.143","29.61"
"0.1872025","0.307","-0.232","0.923","0.14","-0.28","0.95","7.042","-8.119","29.587"
"0.2006912","0.308","-0.232","0.922","0.14","-0.281","0.95","7.078","-8.121","29.578"
"0.2157974","0.311","-0.232","0.922","0.141","-0.281","0.949","7.165","-8.106","29.561"
"0.2296448","0.314","-0.231","0.921","0.142","-0.281","0.949","7.221","-8.089","29.552"
"0.2439499","0.317","-0.23","0.92","0.142","-0.28","0.949","7.263","-8.062","29.549"
"0.2582932","0.317","-0.23","0.92","0.143","-0.28","0.949","7.303","-8.034","29.547"
"0.2726898","0.319","-0.229","0.92","0.145","-0.277","0.95","7.355","-7.965","29.552"
"0.286972","0.32","-0.227","0.92","0.147","-0.273","0.951","7.381","-7.915","29.559"
"0.3008652","0.322","-0.223","0.92","0.15","-0.266","0.952","7.456","-7.735","29.588"
"0.3156967","0.324","-0.217","0.921","0.152","-0.257","0.954","7.524","-7.499","29.632"
"0.3296051","0.325","-0.208","0.922","0.154","-0.245","0.957","6.378","-6.039","25.023"
"0.3438644","0.328","-0.195","0.924","0.155","-0.233","0.96","6.419","-5.699","25.059"
"0.3581619","0.328","-0.191","0.925","0.155","-0.227","0.961","6.529","-5.496","25.569"
"0.3726349","0.325","-0.179","0.929","0.156","-0.215","0.964","6.703","-5.503","26.394"
"0.3865891","0.325","-0.179","0.929","0.156","-0.215","0.964","6.602","-5.188","25.979"
"0.4013062","0.324","-0.166","0.931","0.157","-0.197","0.968","6.746","-4.949","26.789"
"0.4161453","0.321","-0.155","0.934","0.159","-0.179","0.971","6.714","-4.68","26.697"
"0.4297562","0.323","-0.134","0.937","0.158","-0.164","0.974","6.174","-3.835","24.542"
"0.4437637","0.323","-0.13","0.938","0.158","-0.156","0.975","6.441","-3.728","26.105"
"0.4583588","0.279","-0.116","0.953","0.127","-0.139","0.982","6.024","-3.787","28.731"
"0.4724503","0.333","0.05","0.942","0.114","-0.138","0.984","5.856","-1.173","26.12"
"0.4869843","0.206","-0.153","0.966","0.078","-0.132","0.988","4.025","-4.094","28.692"
"0.5011139","0.196","-0.144","0.97","0.058","-0.128","0.99","3.646","-3.918","28.97"
"0.5158234","0.186","-0.134","0.973","0.057","-0.128","0.99","3.225","-3.544","27.374"
"0.5295868","0.177","-0.128","0.976","0.044","-0.123","0.991","2.922","-3.357","26.818"
"0.5438995","0.174","-0.124","0.977","0.04","-0.122","0.992","2.922","-3.357","26.818"
"0.5579987","0.169","-0.118","0.979","0.035","-0.12","0.992","2.715","-3.164","26.111"
"0.5724945","0.167","-0.113","0.98","0.033","-0.118","0.992","2.66","-3.077","26.127"
"0.5867615","0.165","-0.107","0.981","0.032","-0.116","0.993","2.617","-2.964","26.144"
"0.6007309","0.162","-0.1","0.982","0.03","-0.11","0.993","2.559","-2.797","26.244"
"0.61586","0.159","-0.09","0.983","0.029","-0.108","0.994","2.539","-1.863","25.09"
"0.6294937","0.174","-0.034","0.984","0.03","-0.105","0.994","2.63","-1.941","25.804"
"0.6439667","0.15","-0.121","0.981","0.034","-0.1","0.994","2.744","-2.671","27.811"
"0.6583023","0.148","-0.117","0.982","0.035","-0.098","0.995","2.681","-2.607","27.191"
"0.6723709","0.141","-0.1","0.985","0.038","-0.092","0.995","2.67","-2.566","27.412"
"0.6868896","0.12","0.04","0.992","0.046","-0.084","0.995","2.853","-0.267","29.3"
"0.7011108","0.101","-0.006","0.995","0.047","-0.08","0.996","2.573","-0.884","31.433"
"0.7161026","0.088","-0.191","0.978","0.016","-0.001","1","1.326","-2.416","25.075"
"0.7294922","0.105","-0.132","0.986","0.016","0","1","1.508","-1.859","25.719"
"0.7438354","0.106","-0.138","0.985","0.016","0.003","1","2.371","-0.054","34.851"
"0.7582932","0.123","-0.019","0.992","0.015","0.009","1","2.385","-0.039","34.85"
"0.772522","0.123","-0.018","0.992","0.014","0.016","1","1.689","0.006","24.688"
"0.7868423","0.123","-0.016","0.992","0.014","0.019","1","1.723","0.083","25.056"
"0.8012314","0.123","-0.012","0.992","0.013","0.02","1","1.636","0.107","25.774"
"0.8156815","0.099","-0.016","0.995","-0.002","0.014","1","1.287","-0.041","26.195"
"0.8299789","0.081","-0.014","0.997","-0.011","0.008","1","0.954","-0.095","26.81"
"0.8440857","0.066","-0.012","0.998","-0.02","0.004","1","0.656","-0.136","27.77"
"0.8581009","0.056","-0.014","0.998","-0.029","0.002","1","0.382","-0.188","27.641"
"0.8723526","0.052","-0.016","0.998","-0.035","0","0.999","0.246","-0.231","26.619"
"0.8865509","0.051","-0.016","0.999","-0.037","-0.001","0.999","0.136","-0.274","26.608"
"0.9010773","0.046","-0.021","0.999","-0.04","-0.004","0.999","0.07","-0.37","27.258"
"0.9158478","0.045","-0.022","0.999","-0.041","-0.005","0.999","0.053","-0.444","28.173"
"0.9297256","0.044","-0.028","0.999","-0.041","-0.01","0.999","0.04","-0.599","28.711"
"0.9441147","0.043","-0.03","0.999","-0.04","-0.014","0.999","0.045","-0.62","28.215"
"0.9581833","0.044","-0.033","0.998","-0.037","-0.02","0.999","0.092","-0.76","28.432"
"0.9722672","0.045","-0.036","0.998","-0.035","-0.025","0.999","0.145","-0.864","28.769"
"0.9867096","0.046","-0.037","0.998","-0.033","-0.028","0.999","0.178","-0.907","28.499"
"1.0009","0.047","-0.037","0.998","-0.031","-0.03","0.999","0.214","-0.934","27.915"
"1.015259","0.048","-0.038","0.998","-0.03","-0.032","0.999","0.272","-1.002","28.002"
"1.02874","0.051","-0.043","0.998","-0.028","-0.033","0.999","0.379","-1.133","28.17"
"1.043007","0.054","-0.048","0.997","-0.027","-0.034","0.999","0.411","-1.151","27.659"
"1.057091","0.056","-0.05","0.997","-0.026","-0.035","0.999","0.479","-1.239","28.155"
"1.07148","0.061","-0.057","0.996","-0.023","-0.036","0.999","0.535","-1.27","28.045"
"1.086044","0.061","-0.06","0.996","-0.023","-0.036","0.999","0.532","-1.342","28.403"
"1.099861","0.039","-0.071","0.997","-0.045","-0.04","0.998","-0.087","-1.636","29.427"
"1.115784","0.02","-0.072","0.997","-0.057","-0.042","0.998","-0.569","-1.769","30.985"
"1.129692","0.007","-0.067","0.998","-0.069","-0.042","0.997","-0.927","-1.653","30.098"
"1.143776","0.003","-0.066","0.998","-0.074","-0.042","0.996","-1.059","-1.621","29.872"
"1.158318","-0.002","-0.066","0.998","-0.08","-0.043","0.996","-1.235","-1.577","28.547"
"1.172607","-0.004","-0.066","0.998","-0.085","-0.044","0.995","-1.309","-1.613","28.831"
"1.186821","-0.005","-0.067","0.998","-0.086","-0.045","0.995","-1.318","-1.615","28.709"
"1.20134","-0.006","-0.068","0.998","-0.087","-0.047","0.995","-1.324","-1.647","28.388"
"1.21582","-0.006","-0.068","0.998","-0.088","-0.05","0.995","-1.357","-1.711","29.013"
"1.22966","-0.006","-0.069","0.998","-0.087","-0.051","0.995","-1.378","-1.773","29.616"
"1.243683","-0.005","-0.072","0.997","-0.085","-0.055","0.995","-1.339","-1.863","29.72"
"1.258209","-0.004","-0.072","0.997","-0.083","-0.058","0.995","-1.271","-1.891","29.381"
"1.272331","-0.001","-0.072","0.997","-0.081","-0.058","0.995","-1.233","-1.932","29.831"
"1.286606","0","-0.073","0.997","-0.079","-0.057","0.995","-1.165","-1.911","29.694"
"1.301094","0.002","-0.072","0.997","-0.078","-0.057","0.995","-1.132","-1.894","29.522"
"1.31588","0.003","-0.072","0.997","-0.077","-0.056","0.995","-1.071","-1.864","29.298"
"1.329941","0.004","-0.072","0.997","-0.075","-0.054","0.996","-1.038","-1.862","29.934"
"1.344101","0.006","-0.071","0.997","-0.073","-0.051","0.996","-0.98","-1.782","29.141"
"1.358093","0.008","-0.07","0.998","-0.071","-0.046","0.996","-0.915","-1.684","28.697"
"1.372368","0.01","-0.067","0.998","-0.07","-0.043","0.997","-0.889","-1.643","29.432"
"1.386848","0.011","-0.066","0.998","-0.07","-0.041","0.997","-0.852","-1.571","28.855"
"1.400642","0.013","-0.065","0.998","-0.07","-0.039","0.997","-0.803","-1.453","28.68"
"1.415718","0.015","-0.062","0.998","-0.069","-0.033","0.997","-0.777","-1.395","28.806"
"1.429451","0.016","-0.061","0.998","-0.069","-0.032","0.997","-0.741","-1.346","28.936"
"1.443985","0.018","-0.06","0.998","-0.068","-0.029","0.997","-0.696","-1.272","28.455"
"1.458267","0.018","-0.06","0.998","-0.067","-0.028","0.997","-0.662","-1.226","27.8"
"1.472565","0.02","-0.059","0.998","-0.066","-0.027","0.997","-0.681","-1.275","29.153"
"1.486809","0.022","-0.059","0.998","-0.065","-0.025","0.998","-0.634","-1.238","28.988"
"1.500984","0.027","-0.058","0.998","-0.064","-0.024","0.998","-0.539","-1.142","27.645"
"1.515656","0.027","-0.057","0.998","-0.063","-0.023","0.998","-0.534","-1.173","28.95"
"1.529419","0.028","-0.059","0.998","-0.062","-0.022","0.998","-0.521","-1.207","29.646"
"1.543816","0.027","-0.067","0.997","-0.062","-0.03","0.998","-0.689","-2.38","30.177"
"1.558289","0.016","-0.111","0.994","-0.065","-0.07","0.995","-0.771","-2.864","31.636"
"1.57251","0.016","-0.111","0.994","-0.065","-0.07","0.995","-0.922","-3.43","33.696"
